Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 07/23  00:30:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  00:40:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  00:50:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  01:00:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  01:10:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  01:20:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  01:30:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  01:40:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  01:50:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  02:00:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  02:10:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  02:20:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  02:30:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  02:40:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  02:50:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  03:00:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  03:10:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  03:20:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  03:30:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  03:40:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  03:50:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  04:00:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  04:10:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  04:20:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  04:30:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  04:40:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  04:50:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  05:00:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  05:10:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  05:20:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  05:30:00,1164922.1038154262,1164922.1038154262,0.0 
 07/23  05:40:00,1157768.1769793356,1157768.1769793356,0.0 
 07/23  05:50:00,1147128.6194258156,1147128.6194258154,0.0 
